Date,SP500 Price,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2
2016-02-22,1945.5,-0.09192560916219707,-0.10267005681101418,0.010446785175721,-0.15694170320310646,0.0063992523071874,0.0154106745369147
2016-02-23,1921.27,-0.09978810897799045,-0.10101220711954338,0.007774603704935698,-0.18418675556766065,-0.0108391715418365,-0.0134491623020072
2016-02-24,1929.8,-0.09016214015358875,-0.09862822369087677,0.015118029195813,-0.16415755156864087,0.0051911839899009,0.0062522670456277
2016-02-25,1951.7,-0.08256029822337456,-0.08354145998523399,0.0348756591973287,-0.17724512337138887,-0.0059573856261281,0.0066052767203846
2016-02-26,1948.05,-0.07736562355294976,-0.07903486953331809,0.0604583989672911,-0.16943110036872958,0.0057857458259159,0.0051797808028394
2016-02-29,1932.23,-0.08860473656835585,-0.09981123196370839,0.0445409247890296,-0.17469780747101046,0.0042320632803795,-0.0008510202569811
2016-03-01,1978.35,-0.06989994549030665,-0.08916653738061328,0.058717740492626395,-0.13510159756161488,-0.0052666270625559,0.0171145814586033
2016-03-02,1986.45,-0.07114536854227145,-0.08937574599004018,0.0547790348265802,-0.13695028069506157,0.000264221115703,0.0107294526238156
2016-03-03,1993.4,-0.07078647171424196,-0.09355592976366199,0.0572834057240808,-0.14502576188874805,-0.0032414861912175,0.0074578229973686
2016-03-04,1999.99,-0.060909496012859964,-0.09281829488662809,0.0660753886903845,-0.11702847613702806,0.0063331517898421,0.0076133201535332
2016-03-07,2001.76,-0.05694795979236406,-0.08578978159802968,0.0611846792151318,-0.12223287703569495,-0.0034454899612575,0.0141656600391102
2016-03-08,1979.26,-0.06385840922430736,-0.09181565796509178,0.0508958742636096,-0.12148083750325527,0.0341295674891505,-0.022801927449832
2016-03-09,1989.27,-0.03893575683240495,-0.07525129984016247,0.0749366314983793,-0.09349152291300726,0.0019525856309439,0.0070204158627722
2016-03-10,1989.57,-0.048903584779100354,-0.07711218626614799,0.0664087929935241,-0.10988077203862524,0.0064936163787437,-0.0082632114047604
2016-03-11,2022.19,-0.02850112458942125,-0.06392751053270289,0.0714518891369708,-0.08075620520619835,-0.0066755157333216,0.0180308404196165
2016-03-14,2019.64,-0.03492102545760155,-0.06716611997438318,0.0783543801404253,-0.07206366312252825,0.0072178378556837,-0.0017433440007475
2016-03-15,2015.93,-0.04871293152768835,-0.09004155835617458,0.0791023831769163,-0.08329440637392456,0.0053069062850573,-0.0115837938072719
2016-03-16,2027.22,-0.03666600105466355,-0.09518056857096459,0.0907707774452709,-0.06280869661459565,-0.0117375589538186,0.0130551895557952
2016-03-17,2040.59,-0.035469131934141356,-0.10788318626554869,0.0893509018630323,-0.05899186115856665,-0.0087736111379856,0.0168018907912236
2016-03-18,2049.58,-0.016131082143424954,-0.09957494932274089,0.0999230773765925,-0.03887641166176385,0.0104515220030247,0.0056203437048721
2016-03-21,2051.6,-0.022231958371337554,-0.09599246476020237,0.0923714983657108,-0.05232403945676605,0.002404296884094,0.0010150218523983
2016-03-22,2049.8,-0.035726645163944255,-0.09367701291752198,0.0768461066188725,-0.06250830356521205,0.0011738091456514,-0.0018727401862397
2016-03-23,2036.71,-0.053663083803331756,-0.10065523822918818,0.06932617366677651,-0.08320121431989715,-0.0082881874984499,-0.022871930006657
2016-03-24,2035.94,-0.05882177496916365,-0.10490361132951548,0.061956201239384195,-0.08951594173476346,-0.001557781986835,0.0035121187510131
2016-03-28,2037.05,-0.053621969235331454,-0.10531495758441518,0.0759179225745126,-0.07971732585470995,-0.001607232061668,-0.0024119845675387
2016-03-29,2055.01,-0.04731965291630626,-0.09202041463371638,0.08489995245678601,-0.07565583652199395,0.000700062186954,0.0161449781782133
