Date,Price ,Price,close
10/7/2019,165.830002,53.389999,33.5714
10/8/2019,171.199997,55.18,33.71
10/9/2019,178.259995,56.369999,34.07
10/12/2019,181.869995,57.490002,34.22
10/13/2019,182.850006,57.209999,34.3714
10/14/2019,184.520004,57.029999,34.2786
10/15/2019,181.720001,55.25,34.5414
10/16/2019,182.460007,56.400002,34.6128
10/19/2019,185.479996,56.529999,34.6328
10/20/2019,182.050003,56.060001,35.0986
10/21/2019,184.699997,54.48,35.56
10/22/2019,184.699997,54.48,35.3428
10/23/2019,183.830002,53.419998,35.2957
10/26/2019,183.539993,54.900002,34.9414
10/27/2019,179.210007,53.889999,37.0314
10/28/2019,182.220001,51.34,38.0671
10/29/2019,180.360001,49.575001,38.69
10/30/2019,194.220001,46.584999,38.5
11/2/2019,189.720001,46.645,37.4343
11/3/2019,195.619995,47.59,37.3714
11/4/2019,201.490005,49.584999,38.3771
11/5/2019,207.979996,51.259998,37.2986
11/6/2019,206.789993,51.860001,38.05
11/9/2019,212,50.990002,36.9543
11/10/2019,213.190002,51.650002,36.5693
11/11/2019,212.839996,60,35.1786
11/12/2019,213.539993,61.049999,33.6943
11/13/2019,206.889999,57.549999,36.2843
11/16/2019,206.699997,57.279999,36.6457
11/17/2019,203.580002,60.66,37.4414
11/18/2019,204.350006,62.759998,36.9086
11/19/2019,198.130005,62.009998,36.26
11/20/2019,200,60.459999,36.3171
11/23/2019,202.25,59.98,36.0514
11/24/2019,199.809998,59.040001,35.4771
11/25/2019,197.710007,60.349998,33.9657
11/27/2019,197.139999,60.650002,34.6171
11/30/2019,199.789993,59.759998,35.2514
12/1/2019,201.199997,60.540001,35.0314
12/2/2019,202.330002,58.740002,34.8727
12/3/2019,202.080002,59.77,36.1928
12/4/2019,200.899994,60.419998,36.6971
12/7/2019,202.479996,59.91,37.2614
12/8/2019,199.380005,61.240002,37.7071
12/9/2019,202.320007,64.790001,37.5886
12/10/2019,202.089996,62.09,36.5664
12/11/2019,204.619995,63.07,35.8486
12/14/2019,205.860001,62.889999,35.6186
12/15/2019,208.679993,63.299999,34.7428
12/16/2019,208.580002,62.549999,35.7871
12/17/2019,214.350006,60.290001,36.2157
12/18/2019,219.240005,60.740002,36.3257
12/21/2019,220,60.299999,37.0986
12/22/2019,218.970001,60.290001,38.1786
12/23/2019,221.240005,60,38.8386
12/24/2019,222.649994,58.75,39.1534
12/28/2019,222.75,58.700001,38.5957
12/29/2019,224.190002,59.009998,39.1214
12/30/2019,226.899994,60.32,38.71
12/31/2019,228.270004,59.139999,38.4286
1/4/2021,233.449997,60.439999,38.1
1/5/2021,232.470001,58.740002,38.3286
1/6/2021,234.979996,58.959999,36.5957
1/7/2021,232.820007,62.310001,35.9328
1/8/2021,238.720001,61.619999,35.4971
1/11/2021,231.139999,62.93,35.2771
1/12/2021,226.25,63.509998,35.5186
1/13/2021,223.050003,63.959999,36.9521
1/14/2021,217.960007,62.52,36.87
1/15/2021,216.009995,61.610001,37.0886
1/19/2021,224,62.240002,36.755
1/20/2021,224.210007,61.700001,35.9711
1/21/2021,230.229996,61.34,36.1038
1/22/2021,231.960007,62.990002,35.9214
1/25/2021,241.160004,62.619999,35.7
1/26/2021,234.690002,61.66,35.0828
1/27/2021,231.899994,59.619999,35.9843
1/28/2021,227.910004,60.599998,36.32
1/29/2021,231.149994,59.040001,37.0034
2/1/2021,232.479996,60.48,37.1343
2/2/2021,241.029999,58.91,37.04
2/3/2021,242.669998,59.279999,37.7257
2/4/2021,241.350006,60.52,37.28
2/5/2021,240.940002,63.32,36.8728
2/8/2021,241.490005,63.740002,36.75
2/9/2021,237.429993,63.950001,37.4071
2/10/2021,238.660004,63.34,37.4186
2/11/2021,241.009995,62.66,37.5686
